recipient_name
Asia-Pacific
Eastern Europe
Western Europe and Others
MENA
Africa
Latin America and Caribbean
Caribbean

Kosovo
North of Sahara
Sub-Saharan Africa
Central Asia
East Asia
Middle East
South Asia
Central America
South America
Oceania
States Ex-Yugoslavia
ECCU / ECCB
WAEMU:West African Eco/Monetary Un
Arab Monetary Fund
Caucasus and Central Asia
