GeoAreaName,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Small island developing States (SIDS),14.5423483941985,11.336674582090064,23.213430865897994,10.7433984137893,11.707789259842366,25.4796151474236,24.185520551115246,33.73799137244491,28.310165890579036,21.913847
Landlocked developing countries (LLDCs),69.94396913772867,117.67894604489483,115.25585535570775,83.99161400582301,69.76115439857428,106.706314451716,89.07824363330766,101.12401378522719,96.10801407491252,64.143586
Least Developed Countries (LDCs),108.61420569984534,112.56773285583725,171.09917319322446,132.05640904811924,130.2443642000723,151.11954032434372,175.51107260891595,245.54108887083916,181.40773993767166,153.299314
World,406.52721769219704,468.09144251956064,575.2859633697068,450.43019591501053,452.93275375861043,513.0474205214065,506.2633242664615,678.9210139236928,641.748337911012,541.378671
