year,iso3c,135,138,136
2021,ABW,NA,NA,NA
2021,AFG,NA,NA,1
2021,AGO,NA,NA,1
2021,AIA,NA,NA,0
2021,ALA,NA,NA,NA
2021,ALB,0,0,1
2021,AND,1,1,1
2021,ARE,1,1,1
2021,ARG,0,0,1
2021,ARM,1,1,1
2021,ASM,NA,NA,NA
2021,ATF,NA,NA,NA
2021,ATG,0,1,1
2021,AUS,1,1,1
2021,AUT,1,1,1
2021,AZE,1,NA,1
2021,BDI,1,0,1
2021,BEL,1,1,1
2021,BEN,1,0,1
2021,BES,NA,NA,NA
2021,BFA,0,NA,1
2021,BGD,0,1,1
2021,BGR,1,1,1
2021,BHR,NA,NA,NA
2021,BHS,NA,NA,0
2021,BIH,0,1,1
2021,BLM,NA,NA,NA
2021,BLR,0,1,1
2021,BLZ,1,0,1
2021,BMU,NA,NA,NA
2021,BOL,0,0,0
2021,BRA,1,NA,NA
2021,BRB,1,0,0
2021,BRN,1,0,0
2021,BTN,0,1,1
2021,BWA,1,1,1
2021,CAF,1,0,1
2021,CAN,1,1,1
2021,CCK,NA,NA,NA
2021,CHE,1,1,1
2021,CHL,1,0,1
2021,CHN,1,1,1
2021,CIV,1,0,1
2021,CMR,1,0,1
2021,COD,NA,NA,NA
2021,COG,1,0,1
2021,COK,1,0,1
2021,COL,1,0,1
2021,COM,0,0,1
2021,CPV,1,1,1
2021,CRI,1,1,1
2021,CUB,NA,NA,NA
2021,CUW,0,NA,1
2021,CXR,NA,NA,NA
2021,CYM,0,NA,1
2021,CYP,1,1,1
2021,CZE,1,1,1
2021,DEU,1,1,1
2021,DJI,0,0,0
2021,DMA,1,0,0
2021,DNK,1,1,1
2021,DOM,0,0,1
2021,DZA,1,1,1
2021,ECU,0,1,1
2021,EGY,1,0,1
2021,ERI,NA,NA,NA
2021,ESH,NA,NA,NA
2021,ESP,1,1,1
2021,EST,1,1,1
2021,ETH,1,NA,1
2021,FIN,1,1,1
2021,FJI,NA,NA,NA
